"","job","pp","wage"
"1",8,1,12.0437299870186
"2",8,1,9.35485091743119
"3",5,1,21.99375625
"4",8,1,18.4380475
"5",8,1,13.2094632132132
"6",8,0,12.1272615384615
"7",8,0,4.43222259615385
"8",8,0,8.9552972972973
"9",8,0,13.5631931166348
"10",5,0,17.0313319327731
"11",8,0,9.89682595047088
"12",8,0,12.5678607142857
"13",8,0,22.2801551724138
"14",8,0,62.127375
"15",8,1,15.8704179194227
"16",8,0,13.8417980769231
"17",8,1,15.8821314102564
"18",8,0,6.69063942307692
"19",2,1,15.6771832229581
"20",8,1,13.5638674463938
"21",8,0,13.0700472914875
"22",8,1,12.7648
"23",8,0,7.38024369747899
"24",8,1,31.8875163398693
"25",8,0,15.7722062256809
"26",5,1,29.4477071129707
"27",2,0,18.0995657894737
"28",8,0,6.68158526821457
"29",8,0,10.996875
"30",8,0,14.3057346153846
"31",8,0,7.131255
"32",8,1,19.0497096456693
"33",5,1,15.9949666666667
"34",8,1,12.5449489182692
"35",8,1,10.1509615384615
"36",8,1,13.8916780821918
"37",8,1,15.2928923076923
"38",8,1,9.40981203007519
"39",8,0,15.8390659340659
"40",8,1,15.8688114754098
"41",8,0,10.2302358490566
"42",8,0,11.6926634615385
"43",8,0,15.783073286052
"44",8,0,23.5505054945055
"45",8,0,12.5918463740458
"46",8,0,10.1377307692308
"47",8,0,12.8908551236749
"48",8,0,12.9989576923077
"49",8,1,18.7413942307692
"50",8,1,11.1989206036745
"51",8,1,7.978
"52",8,1,7.37904876977153
"53",8,0,5.21009961439589
"54",8,1,12.0122146859334
"55",8,1,31.400673992674
"56",8,0,9.996853125
"57",8,0,12.0965673076923
"58",8,1,11.1660576923077
"59",8,0,9.71354251012146
"60",8,1,9.44494757281553
"61",8,0,12.5195240384615
"62",5,0,12.9616395348837
"63",8,1,19.2169113149847
"64",5,1,14.8318696711328
"65",5,1,22.2569264957265
"66",8,1,23.2927644230769
"67",8,0,13.1951935840708
"68",8,0,8.21132085561497
"69",8,0,7.79510989010989
"70",8,0,8.31791729323308
"71",8,0,18.4557259615385
"72",8,1,11.1745739750446
"73",8,1,13.7148687818253
"74",8,1,13.7636
"75",8,0,10.5748723404255
"76",8,0,22.8396682692308
"77",8,1,20.6837051282051
"78",8,0,12.438835978836
"79",5,1,20.7488254716981
"80",8,0,5.38337226277372
"81",5,1,42.3386481481481
"82",2,1,26.5933365384615
"83",2,0,12.6840524781341
"84",5,0,11.420385114669
"85",5,0,12.666200312989
"86",2,0,25.4818269720102
"87",2,0,11.1274365770541
"88",2,0,12.3892015810277
"89",8,0,14.2102631578947
"90",2,0,12.4102259615385
"91",5,0,11.8969786476868
"92",5,0,33.5564564943253
"93",2,1,9.91292766373411
"94",5,0,16.2336839666358
"95",5,0,37.7035773809524
"96",5,1,16.9182740384615
"97",5,0,14.5307873754153
"98",2,1,13.3812788461538
"99",5,0,11.9932415169661
"100",5,0,11.5237786458333
"101",5,0,54.8015384615385
"102",5,0,15.1732692307692
"103",5,1,21.9835288461538
"104",5,0,74.3469677419355
"105",5,0,5.70500755667506
"106",5,0,14.7645824175824
"107",5,1,12.5148651079137
"108",2,0,24.4820539419087
"109",2,0,23.5228458681523
"110",8,1,12.1855715599142
"111",5,1,17.4392631578947
"112",5,0,17.2045
"113",2,0,15.8940496845426
"114",5,0,21.4024471153846
"115",2,0,21.8113125
"116",5,1,14.8107076923077
"117",5,0,21.7871324200913
"118",5,0,25.80675
"119",2,1,18.0660258964143
"120",2,1,11.4249761904762
"121",5,1,21.8463307155323
"122",8,0,38.3801971153846
"123",5,0,34.1127653061224
"124",2,0,18.5222374429224
"125",2,1,19.5060528455285
"126",8,0,12.707503968254
"127",2,1,10.8328413461538
"128",5,0,22.1611153846154
"129",2,0,12.8534471153846
"130",2,0,24.1432998324958
"131",2,0,15.6873701923077
"132",5,0,25.884014974263
"133",5,0,20.8629945652174
"135",2,0,20.3882259615385
"136",5,1,21.5110541666667
"137",5,0,15.7567213930348
"138",2,1,44.700862745098
"139",5,0,9.22786538461538
"140",2,0,10.0206793478261
"141",2,0,11.7036356707317
"142",5,1,12.9516327361564
"143",2,1,22.1611153846154
"144",5,0,6.6186091954023
"145",5,0,12.3653572593801
"146",2,1,22.9348964418481
"147",8,0,11.5890144230769
"148",2,0,13.0647540983607
"149",2,1,16.2148014184397
"150",5,1,19.3785144230769
"151",2,0,15.199838150289
"152",2,0,16.8719178082192
"153",5,0,3.76167711905928
"154",5,0,9.99685416666667
"155",5,0,20.650612
"156",5,0,8.42122115384615
"157",2,1,15.8633552631579
"158",5,0,32.9707076923077
"159",2,1,26.7550414593698
"160",5,0,31.7899951923077
"161",5,1,12.4721769230769
"162",5,0,13.3812788461538
"163",5,0,28.4945065789474
"164",2,0,10.9272524752475
"165",5,0,26.097048245614
"166",5,1,21.9937548076923
"167",2,0,15.6705824742268
"168",8,0,12.8697394136808
"170",2,0,18.5133846153846
"171",5,0,5.73622596153846
"173",8,0,18.8463827370812
"174",8,1,7.14276048714479
"175",8,0,8.82131220285262
"176",2,0,17.3719615384615
"177",8,1,18.6153365384615
"178",2,0,8.28364855072464
"179",8,0,16.9921025641026
"180",5,0,15.1681077586207
"181",5,0,5.63040133333333
"182",8,0,21.3339844054581
"183",5,0,32.9707076923077
"184",5,0,27.3143989218329
