age,job,pp
25,1,0.13174170000000002
25,2,0.3250671
25,3,0.26326609999999995
25,4,0.2882628
25,5,0.2799521
25,6,0.2290553
25,7,0.3245893
25,8,0.3040752
25,9,0.3099907
26,1,0.21042329999999998
26,2,0.3845435
26,3,0.2831855
26,4,0.3069603
26,5,0.3118978
26,6,0.2533736
26,7,0.3643591
26,8,0.3568272
26,9,0.3259817
27,1,0.3243237
27,2,0.44827380000000006
27,3,0.35456620000000005
27,4,0.3567088
27,5,0.305161
27,6,0.2576197
27,7,0.3717881
27,8,0.3860662
27,9,0.38028590000000007
28,1,0.3447185
28,2,0.4654129
28,3,0.3153116
28,4,0.39871599999999996
28,5,0.3740513
28,6,0.26443829999999996
28,7,0.4590119000000001
28,8,0.44739639999999997
28,9,0.3344873
29,1,0.3325628
29,2,0.46820029999999996
29,3,0.3026609
29,4,0.35495340000000003
29,5,0.3917155
29,6,0.27743029999999996
29,7,0.49751179999999995
29,8,0.4441503
29,9,0.47111400000000003
30,1,0.3428864
30,2,0.47776009999999997
30,3,0.28053049999999996
30,4,0.37583140000000004
30,5,0.3823107
30,6,0.2959491
30,7,0.558459
30,8,0.46772290000000005
30,9,0.3884985
31,1,0.3060009
31,2,0.5022305
31,3,0.3300126
31,4,0.41399440000000004
31,5,0.4059581
31,6,0.2683713
31,7,0.503606
31,8,0.4884840999999999
31,9,0.44711309999999993
32,1,0.3242534
32,2,0.47076260000000003
32,3,0.2894534
32,4,0.34242940000000005
32,5,0.38313800000000003
32,6,0.2480348
32,7,0.4980394
32,8,0.45425870000000007
32,9,0.3863478
33,1,0.26528509999999994
33,2,0.47268699999999997
33,3,0.3178719
33,4,0.1402217
33,5,0.3549733
33,6,0.28256370000000003
33,7,0.4597491
33,8,0.4286714
33,9,0.3496502
34,1,0.3377378
34,2,0.4953643
34,3,0.3676469
34,4,0.38131390000000004
34,5,0.346008
34,6,0.2664804
34,7,0.4245642
34,8,0.4420808
34,9,0.3878522
35,1,0.265847
35,2,0.5209948
35,3,0.3871191
35,4,0.3709328
35,5,0.4059428
35,6,0.2615952
35,7,0.38135009999999997
35,8,0.40625229999999996
35,9,0.3561244
36,1,0.3029237
36,2,0.5651427
36,3,0.34393870000000004
36,4,0.3080591
36,5,0.40915809999999997
36,6,0.2983024
36,7,0.36852290000000004
36,8,0.46947910000000004
36,9,0.322936
37,1,0.3935641
37,2,0.5429967
37,3,0.49864359999999996
37,4,0.40174390000000004
37,5,0.4380513
37,6,0.3167308
37,7,0.4919575
37,8,0.46920909999999993
37,9,0.3223718
38,1,0.42404369999999997
38,2,0.5778529
38,3,0.4216139
38,4,0.40472790000000003
38,5,0.44181159999999997
38,6,0.4222008
38,7,0.44879300000000005
38,8,0.4727316
38,9,0.317255
39,1,0.3209258
39,2,0.6340651999999999
39,3,0.49836909999999995
39,4,0.45081270000000007
39,5,0.474289
39,6,0.32541290000000006
39,7,0.44828609999999997
39,8,0.46003829999999996
39,9,0.29731149999999995
40,1,0.36205290000000007
40,2,0.5860388000000001
40,3,0.499308
40,4,0.42190609999999995
40,5,0.4672402
40,6,0.3995312
40,7,0.522213
40,8,0.4815312
40,9,0.46529040000000005
41,1,0.3556808
41,2,0.5624842
41,3,0.28317600000000004
41,4,0.5436848000000001
41,5,0.4902512
41,6,0.40891120000000003
41,7,0.39429559999999997
41,8,0.42769070000000003
41,9,0.3244718
42,1,0.3478706
42,2,0.6204900999999999
42,3,0.3214931
42,4,0.5410845000000001
42,5,0.46592609999999995
42,6,0.4112879
42,7,0.36744590000000005
42,8,0.490113
42,9,0.5506686
43,1,0.3214718
43,2,0.6349581
43,3,0.41803450000000003
43,4,0.5811090999999999
43,5,0.48939740000000004
43,6,0.45471880000000003
43,7,0.3068023
43,8,0.5087943
43,9,0.49584929999999994
44,1,0.3793535
44,2,0.6489349
44,3,0.4354969
44,4,0.6093048000000001
44,5,0.4649149
44,6,0.4386849
44,7,0.41368019999999994
44,8,0.541725
44,9,0.46633279999999994
45,1,0.33098740000000004
45,2,0.6351568
45,3,0.32675529999999997
45,4,0.7454661
45,5,0.5026503
45,6,0.4371195
45,7,0.365429
45,8,0.5081097
45,9,0.45480709999999996
46,1,0.34985759999999994
46,2,0.6234900999999999
46,3,0.435489
46,4,0.50289
46,5,0.5775394
46,6,0.4672589
46,7,0.394215
46,8,0.5597687
46,9,0.3956981
47,1,0.38912140000000006
47,2,0.6182112
47,3,0.3831199
47,4,0.559171
47,5,0.5729645000000001
47,6,0.42828950000000005
47,7,0.3620854
47,8,0.5264394
47,9,0.4670224
48,1,0.34571740000000006
48,2,0.6607149999999999
48,3,0.3816643
48,4,0.3959723
48,5,0.5850714
48,6,0.44577829999999996
48,7,0.405996
48,8,0.5114402
48,9,0.4709032
49,1,0.28678899999999996
49,2,0.5927719
49,3,0.28492790000000007
49,4,0.3923202
49,5,0.5855792
49,6,0.4153994000000001
49,7,0.46343950000000006
49,8,0.5323935000000001
49,9,0.42360760000000003
50,1,0.3507604
50,2,0.5511159999999999
50,3,0.38493299999999997
50,4,0.4710469
50,5,0.5766441999999999
50,6,0.47400829999999994
50,7,0.365578
50,8,0.5412642
50,9,0.4044652
51,1,0.2889078
51,2,0.5770928000000001
51,3,0.3823871
51,4,0.4152232
51,5,0.5517861999999999
51,6,0.45982049999999997
51,7,0.34720290000000004
51,8,0.48869070000000003
51,9,0.4120632000000001
52,1,0.36068459999999997
52,2,0.5653214
52,3,0.39444029999999997
52,4,0.6269932
52,5,0.49550070000000007
52,6,0.4770423
52,7,0.4072449
52,8,0.5155172
52,9,0.5442614
53,1,0.3560489
53,2,0.5580721
53,3,0.162518
53,4,0.32210029999999995
53,5,0.5990411999999999
53,6,0.4949443
53,7,0.409869
53,8,0.5322682
53,9,0.3608055
54,1,0.3276289
54,2,0.5338468000000001
54,3,0.33747990000000005
54,4,0.7773135
54,5,0.6335166999999999
54,6,0.5238855
54,7,0.4112175
54,8,0.5497949000000001
54,9,0.2903257
55,1,0.36488059999999994
55,2,0.5863008000000001
55,3,0.37638740000000004
55,4,0.5182914000000001
55,5,0.5974946999999999
55,6,0.5430210999999999
55,7,0.33981940000000005
55,8,0.6330846
55,9,0.3923051
